"filename", "language", "GLSL", "C++", "XML", "CMake", "comment", "blank", "total"
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_common.inl", "C++", 0, 638, 0, 0, 43, 112, 793
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_common_simd.inl", "C++", 0, 195, 0, 0, 14, 23, 232
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_exponential.inl", "C++", 0, 123, 0, 0, 9, 21, 153
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_exponential_simd.inl", "C++", 0, 30, 0, 0, 2, 6, 38
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_geometric.inl", "C++", 0, 193, 0, 0, 17, 34, 244
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_geometric_simd.inl", "C++", 0, 143, 0, 0, 2, 19, 164
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_integer.inl", "C++", 0, 325, 0, 0, 11, 57, 393
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_integer_simd.inl", "C++", 0, 52, 0, 0, 0, 14, 66
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_matrix.inl", "C++", 0, 386, 0, 0, 0, 58, 444
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_matrix_simd.inl", "C++", 0, 194, 0, 0, 24, 35, 253
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_packing.inl", "C++", 0, 144, 0, 0, 2, 44, 190
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_packing_simd.inl", "C++", 0, 5, 0, 0, 0, 2, 7
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_trigonometric.inl", "C++", 0, 145, 0, 0, 14, 39, 198
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_trigonometric_simd.inl", "C++", 0, 0, 0, 0, 0, 1, 1
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_vector_relational.inl", "C++", 0, 78, 0, 0, 0, 10, 88
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/func_vector_relational_simd.inl", "C++", 0, 5, 0, 0, 0, 2, 7
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/glm.cpp", "C++", 0, 198, 0, 0, 17, 49, 264
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/qualifier.hpp", "C++", 0, 196, 0, 0, 1, 33, 230
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/setup.hpp", "C++", 0, 917, 0, 0, 104, 168, 1189
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_float.hpp", "C++", 0, 51, 0, 0, 3, 15, 69
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_half.hpp", "C++", 0, 11, 0, 0, 0, 6, 17
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_half.inl", "C++", 0, 121, 0, 0, 80, 41, 242
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat2x2.hpp", "C++", 0, 120, 0, 0, 11, 47, 178
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat2x2.inl", "C++", 0, 465, 0, 0, 9, 63, 537
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat2x3.hpp", "C++", 0, 107, 0, 0, 11, 42, 160
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat2x3.inl", "C++", 0, 445, 0, 0, 9, 57, 511
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat2x4.hpp", "C++", 0, 109, 0, 0, 11, 42, 162
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat2x4.inl", "C++", 0, 455, 0, 0, 9, 57, 521
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat3x2.hpp", "C++", 0, 114, 0, 0, 11, 43, 168
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat3x2.inl", "C++", 0, 467, 0, 0, 9, 57, 533
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat3x3.hpp", "C++", 0, 127, 0, 0, 11, 47, 185
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat3x3.inl", "C++", 0, 528, 0, 0, 9, 65, 602
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat3x4.hpp", "C++", 0, 114, 0, 0, 11, 42, 167
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat3x4.inl", "C++", 0, 513, 0, 0, 9, 57, 579
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x2.hpp", "C++", 0, 119, 0, 0, 11, 42, 172
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x2.inl", "C++", 0, 509, 0, 0, 9, 57, 575
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x3.hpp", "C++", 0, 119, 0, 0, 11, 42, 172
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x3.inl", "C++", 0, 533, 0, 0, 9, 57, 599
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x4.hpp", "C++", 0, 132, 0, 0, 11, 47, 190
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x4.inl", "C++", 0, 598, 0, 0, 36, 73, 707
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_mat4x4_simd.inl", "C++", 0, 3, 0, 0, 1, 3, 7
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_quat.hpp", "C++", 0, 126, 0, 0, 22, 46, 194
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_quat.inl", "C++", 0, 336, 0, 0, 29, 60, 425
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_quat_simd.inl", "C++", 0, 135, 0, 0, 55, 19, 209
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec1.hpp", "C++", 0, 194, 0, 0, 47, 68, 309
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec1.inl", "C++", 0, 455, 0, 0, 13, 86, 554
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec2.hpp", "C++", 0, 288, 0, 0, 21, 94, 403
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec2.inl", "C++", 0, 781, 0, 0, 13, 122, 916
